Organization_id,VerantwoordelijkeTeam_id,Verantwoordelijke_id,Process_id,Processmodel_id,Procedure,BehandelendTeam_id,Behandelaar_id,Zaak_id,Zaaktype_id,When,Change,Is_heropend
631e3e17-c434-e711-aeae-6c3be516ae03,2435c36d-ca8c-4ae2-edaa-08d8d8ac778a,de7db2b1-9bd8-42f5-cac6-08d853344c9f,a506a6f1-2759-48f6-15fb-08dc39c26ffa,b183ef4c-9424-497c-a29e-081dd75c7ed2,Regulier,2435c36d-ca8c-4ae2-edaa-08d8d8ac778a,,3101b011-fb7f-4794-aab1-fe7367f4b79f,744d2e30-c4da-4d55-8ea2-889516effa5b,2025-04-29 16:39:16.013,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,2435c36d-ca8c-4ae2-edaa-08d8d8ac778a,,1bd2381f-2263-471e-1602-08dc39c26ffa,b183ef4c-9424-497c-a29e-081dd75c7ed2,Regulier,2435c36d-ca8c-4ae2-edaa-08d8d8ac778a,,efb911e5-1c2a-44d0-bc1f-00aa69c8e832,744d2e30-c4da-4d55-8ea2-889516effa5b,2025-04-29 16:39:20.255,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,59e5d77d-54f8-4b19-d3a1-08dccbf2cbe8,cab138e1-6c57-4fca-86dd-3025b7b2109f,,a0fa4351-b809-445f-979f-08d951b830a8,b9bad8f0-f988-4368-7e14-08db89dd6e59,67887c40-193e-474e-9593-2b6dbc97ec92,f79985ce-50f0-4aeb-9320-d917197e33bb,2025-04-29 16:39:20.681,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,c1c05d3e-90c9-46ed-eda9-08d8d8ac778a,,85615c2a-c6a4-476a-e126-08dcd32e9534,7b07a1c6-c539-4c16-aeeb-7dafb1c55513,Regulier,c1c05d3e-90c9-46ed-eda9-08d8d8ac778a,,b6d732cc-4636-4526-b891-9d2e43e9f50f,02feced3-2eaf-4d7f-9ec9-ce78b0963d45,2025-04-29 16:39:20.811,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,c1c05d3e-90c9-46ed-eda9-08d8d8ac778a,,160d425f-0701-4987-0d1c-08dd2fd5589a,4f5b9293-61e7-4b00-a6d2-0826a35f17d7,,c1c05d3e-90c9-46ed-eda9-08d8d8ac778a,,95744fc0-0100-4c7b-b3ca-56252e8a3d6f,4fdc356e-6d07-4557-93f3-470279094c33,2025-04-29 16:39:21.955,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,a1be550c-960a-4490-09e6-08dbad299cd5,53897e11-df6b-4fce-9e8f-1adf89eed132,Regulier,a0fa4351-b809-445f-979f-08d951b830a8,b9bad8f0-f988-4368-7e14-08db89dd6e59,3b645784-cec3-44bb-8ac4-9544587ed581,616e648d-366a-455b-9e71-14b20a011d71,2025-04-29 16:39:24.717,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,2435c36d-ca8c-4ae2-edaa-08d8d8ac778a,,aa2e62ff-d909-4490-871b-08dbad29e968,b1cef030-c8d4-42e4-b67d-39ab93c51ca2,Regulier,2435c36d-ca8c-4ae2-edaa-08d8d8ac778a,,c4e21aab-9f7a-4968-99d5-4e5afd410598,d4771f31-881d-442a-b8dc-4bc3adf0d6ef,2025-04-29 16:39:24.717,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,87b95007-33a7-4900-edab-08d8d8ac778a,,24a18a7a-6ba8-4466-310a-08dbaf6ed2fb,0e1106e8-31f5-4df3-a4fb-f42fa8511753,,87b95007-33a7-4900-edab-08d8d8ac778a,,81d43430-943e-4e21-97b3-3c72f0fd07b8,b0d6e6a8-5133-42ca-a7a0-5e98597a1bf2,2025-04-29 16:39:24.728,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,53da6099-4f5f-49f5-337b-08dbaf6ed2fb,69ceea0a-bc49-4394-b831-e0aa01fe3023,,a0fa4351-b809-445f-979f-08d951b830a8,de7db2b1-9bd8-42f5-cac6-08d853344c9f,122c1764-b4cf-4635-ab42-1525cecac42d,46bde643-5153-4bbc-9871-ce09f173eb74,2025-04-29 16:39:24.835,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,494f3e5e-56cb-467d-0c29-08dbaf5d6f09,d0b7ff26-1d97-49eb-8bcf-9bcc56f7ad62,,a0fa4351-b809-445f-979f-08d951b830a8,de7db2b1-9bd8-42f5-cac6-08d853344c9f,be7c3c22-0869-498f-8a6a-7993bc8f51b0,46bde643-5153-4bbc-9871-ce09f173eb74,2025-04-29 16:39:24.835,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,f807d375-ac24-49af-c089-08dbaf480e5e,dafd2996-6146-4217-9f88-1661ae148e75,,a0fa4351-b809-445f-979f-08d951b830a8,de7db2b1-9bd8-42f5-cac6-08d853344c9f,1179ed3b-a130-489b-8684-abe195508ba6,f24154fd-5f45-4ef2-9248-ef061e248541,2025-04-29 16:39:24.835,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,2c499d6a-2ab6-4efc-b79d-08dbaf4b1f7b,dafd2996-6146-4217-9f88-1661ae148e75,,a0fa4351-b809-445f-979f-08d951b830a8,926fd2ff-13c5-49df-cac8-08d853344c9f,8dcede71-f9fa-4f5f-bcc6-4a21444274c2,f24154fd-5f45-4ef2-9248-ef061e248541,2025-04-29 16:39:24.836,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,43c03f49-3583-40f5-0c22-08dbaf5d6f09,dc83e546-31b9-48bf-932c-28225e0b1abd,,a0fa4351-b809-445f-979f-08d951b830a8,de7db2b1-9bd8-42f5-cac6-08d853344c9f,880c356b-2b9b-41fa-84a9-3e8c57e9fc4e,46bde643-5153-4bbc-9871-ce09f173eb74,2025-04-29 16:39:24.837,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,8a3f9f17-577f-4226-b0e4-08dbaf713c42,dafd2996-6146-4217-9f88-1661ae148e75,,a0fa4351-b809-445f-979f-08d951b830a8,,3307517d-b28f-45aa-9746-c82c1c06354e,f24154fd-5f45-4ef2-9248-ef061e248541,2025-04-29 16:39:24.837,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,2435c36d-ca8c-4ae2-edaa-08d8d8ac778a,,b01511e7-d82d-4755-871d-08dbad29e968,b1cef030-c8d4-42e4-b67d-39ab93c51ca2,Regulier,a0fa4351-b809-445f-979f-08d951b830a8,de7db2b1-9bd8-42f5-cac6-08d853344c9f,0da7bc5d-79b5-4f54-b34a-36e22712637d,d4771f31-881d-442a-b8dc-4bc3adf0d6ef,2025-04-29 16:39:24.845,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,a0fa4351-b809-445f-979f-08d951b830a8,,c50ecacc-f59c-495d-92a8-08dd6bb147c3,9e6411e1-e282-42d7-a7d3-d7389b64112d,Regulier,c1c05d3e-90c9-46ed-eda9-08d8d8ac778a,,4a283e3c-abd1-4c2a-872b-e9b8eddadcac,08adc86f-7669-4ad2-affb-d2ebe2972286,2025-04-29 16:39:24.883,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,cdffb3de-a3d8-425c-edaf-08d8d8ac778a,,e7d7787d-03e8-495f-d3dc-08dbba633ca2,dafd2996-6146-4217-9f88-1661ae148e75,,50101747-23ba-4a62-4c5b-08db6b313f0c,,97a97dd3-5b35-44b0-ba8f-1c12717a9b7f,f24154fd-5f45-4ef2-9248-ef061e248541,2025-04-29 16:39:24.883,insert,false
631e3e17-c434-e711-aeae-6c3be516ae03,cdffb3de-a3d8-425c-edaf-08d8d8ac778a,,0cf3c357-8332-4ceb-b7e6-08dbaf4b1f7b,dafd2996-6146-4217-9f88-1661ae148e75,,cdffb3de-a3d8-425c-edaf-08d8d8ac778a,,847b6836-20dc-4261-b5b7-9f513badb5cf,f24154fd-5f45-4ef2-9248-ef061e248541,2025-04-29 16:39:24.890,insert,false
